2017,18,3655807,137203,46
2017,19,3876401,139560,58
2017,20,4114136,143869,59
2017,21,4334773,149235,60
2017,22,4573905,156037,62
2017,23,4832991,164963,62
2017,24,5043491,173196,63
2018,1,276397,12339,6
2018,2,698749,23633,18
2018,3,1214463,33876,28
2018,4,1733350,42079,29
2018,5,2254305,50786,31
2018,6,2644615,58529,32
2018,7,2874487,67178,34
2018,8,3045410,74856,54
2018,9,3156327,82715,63
2018,10,3256367,89184,73
2018,11,3366043,96024,76
2018,12,3457419,100603,85
2018,13,3536294,104969,90
2018,14,3603098,108291,99
2018,15,3649612,109982,103
2018,16,3705136,111106,117
2018,17,3794027,111959,121
2018,18,3949355,113074,126
2018,19,4147308,115114,134
2018,20,4350107,118897,148
2018,21,4541441,124537,187
2018,22,4766589,131831,243
2018,23,5009251,140684,276
2018,24,5239293,149565,359
2019,1,258669,13975,46
2019,2,645376,25165,129
2019,3,1131961,35654,217
2019,4,1490996,45190,314
2019,5,1804451,55383,434
2019,6,2057297,66421,554
2019,7,2272952,80877,678
2019,8,2421907,92727,808
2019,9,2526898,102840,948
2019,10,2663354,112327,1044
2019,11,2773251,121403,1137
2019,12,2853600,128163,1217
2019,13,2928262,133063,1290
2019,14,2994884,136596,1338
2019,15,3046244,138768,1358
2019,16,3099865,140339,1360
2019,17,3183634,141503,1364
2019,18,3386912,142706,1368
2019,19,3615619,145446,1370
2019,20,3857689,149873,1377
2019,21,4062059,156203,1381
2019,22,4281180,162598,1488
2019,23,4520984,170361,1489
2019,24,4789827,180487,1492
